Country,Year,Rank,Score
MNE,2024,65,28.9
MNG,2011,68,33.4
MNG,2012,68,35
MNG,2013,72,35.77
MNG,2014,56,37.52
MNG,2015,66,36.41
MNG,2016,55,35.74
MNG,2017,52,37.13
MNG,2018,53,35.9
MNG,2019,53,36.29
MNG,2020,58,33.41
MNG,2021,58,34.2
MNG,2022,71,28
MNG,2023,68,28.8
MNG,2024,67,28.7
MOZ,2011,-1,-1
MOZ,2012,110,26.3
MOZ,2013,121,26.5
MOZ,2014,107,28.52
MOZ,2015,95,30.07
MOZ,2016,84,29.84
MOZ,2017,107,24.55
MOZ,2018,115,23.06
MOZ,2019,119,22.87
MOZ,2020,124,18.7
MOZ,2021,122,19.7
MOZ,2022,123,15
MOZ,2023,126,13.6
MOZ,2024,128,13.1
MRT,2011,-1,-1
MRT,2012,-1,-1
MRT,2013,-1,-1
MRT,2014,-1,-1
MRT,2015,-1,-1
MRT,2016,-1,-1
MRT,2017,-1,-1
MRT,2018,-1,-1
MRT,2019,-1,-1
MRT,2020,-1,-1
MRT,2021,-1,-1
MRT,2022,129,12.4
MRT,2023,127,13.5
MRT,2024,126,13.2
MUS,2011,53,36.47
MUS,2012,49,39.2
MUS,2013,53,38
MUS,2014,40,40.94
MUS,2015,49,39.23
MUS,2016,53,35.86
MUS,2017,64,34.82
MUS,2018,75,31.31
MUS,2019,82,30.61
MUS,2020,52,34.35
MUS,2021,52,35.2
MUS,2022,45,34.4
MUS,2023,57,32.1
MUS,2024,55,30.6
MWI,2011,108,25.96
MWI,2012,120,25.4
MWI,2013,119,26.73
MWI,2014,113,27.61
MWI,2015,98,29.71
MWI,2016,98,27.26
MWI,2017,115,23.45
MWI,2018,114,23.09
MWI,2019,118,23
MWI,2020,111,21.44
MWI,2021,107,22.9
MWI,2022,-1,-1
MWI,2023,-1,-1
MWI,2024,-1,-1
MYS,2011,31,44.05
MYS,2012,32,45.9
MYS,2013,32,46.92
MYS,2014,33,45.6
MYS,2015,32,45.98
MYS,2016,35,43.36
MYS,2017,37,42.72
MYS,2018,35,43.16
MYS,2019,35,42.68
MYS,2020,33,42.42
MYS,2021,36,41.9
MYS,2022,36,38.7
MYS,2023,36,40.9
MYS,2024,33,40.5
NAM,2011,78,30.74
NAM,2012,73,34.1
NAM,2013,109,28.36
NAM,2014,108,28.47
NAM,2015,107,28.15
NAM,2016,93,28.24
NAM,2017,97,27.94
NAM,2018,93,28.03
NAM,2019,101,25.85
NAM,2020,104,22.51
NAM,2021,100,24.3
NAM,2022,96,20.6
NAM,2023,96,21.8
NAM,2024,102,20
NER,2011,122,21.41
NER,2012,140,18.6
NER,2013,131,24.03
NER,2014,131,24.27
NER,2015,134,21.22
NER,2016,124,20.44
NER,2017,123,21.18
NER,2018,122,20.57
NER,2019,127,18.13
NER,2020,128,17.82
NER,2021,129,17.8
NER,2022,125,14.6
NER,2023,131,12.4
NER,2024,132,11.2
NGA,2011,96,28.15
NGA,2012,123,24.6
